EVENT;DATETIME;SERVER_HOST;SERVER_ADDR;METHOD;FILE;ACTION_NAME;ACTION_ADD;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;LANGUAGE;DOCUMENT_ROOT
"PAGE VISIT";"2024-09-14 13:10:07 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"Sources (3)";"United States";40.77.167.30;"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36";"Google Chrome";116.0.1938.76;bot;Unknown;/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:35:50 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:35:55 Europe/Budapest";dulzoltan.hu;77.111.127.235;POST;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:36:28 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:36:36 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:36:42 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:36:54 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:38:32 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:38:32 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:38:34 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (iPad; CPU OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";"Apple Safari";17.6;mac;"fr-FR,fr;q=0.9";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:45:43 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:46:18 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0";"Mozilla Firefox";130.0;windows;"fr,fr-FR;q=0.8,en-US;q=0.5,en;q=0.3";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:46:57 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:47:01 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:14 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:17 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:18 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:19 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:19 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:20 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:20 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:50:23 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;linux;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:52:58 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"About us (4)";France;134.59.215.253;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;linux;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:53:02 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"Sources (3)";France;134.59.215.253;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;linux;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-09-26 13:57:46 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;134.59.215.253;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36";"Google Chrome";129.0.0.0;mac;"fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
