EVENT;DATETIME;SERVER_HOST;SERVER_ADDR;METHOD;FILE;ACTION_NAME;ACTION_ADD;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;LANGUAGE;DOCUMENT_ROOT
"PAGE VISIT";"2024-12-02 18:00:18 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";"United States";40.77.167.33;"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36";"Google Chrome";116.0.1938.76;bot;Unknown;/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 12:49:21 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Japan;43.153.15.51;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 15:34:30 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"Sources (3)";China;49.51.50.147;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 15:47:22 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Japan;43.157.156.190;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 15:50:52 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Japan;43.155.27.244;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 18:11:06 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"About us (4)";Japan;43.153.86.78;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 18:29:15 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"Sources (3)";Japan;43.163.0.99;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-12-23 18:32:59 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Japan;43.153.10.13;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
