EVENT;DATETIME;SERVER_HOST;SERVER_ADDR;METHOD;FILE;ACTION_NAME;ACTION_ADD;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;LANGUAGE;DOCUMENT_ROOT
"PAGE VISIT";"2020-01-21 12:50:53 Europe/Budapest";localhost;::1;GET;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 12:51:00 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 14:03:29 Europe/Budapest";localhost;::1;GET;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:04:12 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:06:47 Europe/Budapest";localhost;::1;GET;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:17:05 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:17:22 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:18:59 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:19:43 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
"PAGE VISIT";"2020-01-21 17:29:09 Europe/Budapest";localhost;::1;POST;/domains/go_extension_tool/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.16 Safari/537.36";"Google Chrome";80.0.3987.16;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/go_extension_tool/main.php"
