EVENT;DATETIME;SERVER_HOST;SERVER_ADDR;METHOD;FILE;ACTION_NAME;ACTION_ADD;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;LANGUAGE;DOCUMENT_ROOT
"PAGE VISIT";"2025-02-08 03:46:34 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Japan;43.135.142.37;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2025-02-20 15:28:04 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Japan;43.153.71.12;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2025-02-28 09:42:17 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";China;49.51.72.76;"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1";"Apple Safari";13.0.3;mac;"zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
